              #1               2               3               4               5               6               7               8               9              10              11              12              13              14              15              16              17              18              19              20              21              22              23              24              25              26              27              28              29              30              31              32              33              34              35              36              37              38              39              40
            #id0             id1            time              m0              m1               x               y               z              vx              vy              vz              x0              y0              z0             vx0             vy0             vz0              x1              y1              z1             vx1             vy1             vz1              xs              ys              zs             vxs             vys             vzs
               7               8  0.56046294E+06  0.12718970E-05  0.53532647E-06 -0.31988723E+00 -0.37426101E+01  0.23085466E-03  0.46866297E+00 -0.11065125E+00  0.46520833E-02 -0.31993516E+00 -0.37426345E+01  0.23709897E-03  0.62320218E+00  0.95700034E-01 -0.11057555E-01  0.15885934E-03
               1               2  0.87892586E+07  0.83627010E-03  0.87742026E-05 -0.34267379E+01  0.44821916E+01  0.30934108E-02 -0.34659849E+00 -0.25400424E+00  0.49410358E-02 -0.34273612E+01  0.44817985E+01  0.37830678E-02  0.85084802E+00 -0.29754232E+00 -0.47891085E+00  0.84504430E-03
               1               4  0.11106570E+08  0.90892622E-03  0.10324530E-06  0.56861699E+01  0.15507977E+01 -0.51509243E-01 -0.11131226E+00  0.39405919E+00 -0.11992114E-02  0.56871578E+01  0.15506429E+01 -0.51421378E-01 -0.53199244E+00 -0.88412732E+00  0.39595918E-01  0.90902947E-03
