# R_norm M_norm Z
1.0000000000000000 1.0000000000000000 0.0000349799993921
0.9999999964950206 0.9999999999995000 0.0000349799974163
0.9999999886089769 0.9999999999983750 0.0000349799937688
0.9999999754660717 0.9999999999965000 0.0000349799884494
0.9999999579431790 0.9999999999940000 0.0000349799793306
0.9999999229007445 0.9999999999890000 0.0000349799580532
0.9999998353142019 0.9999999999765000 0.0000349799276570
0.9999997477555737 0.9999999999640000 0.0000349798820627
0.9999995727219674 0.9999999999390000 0.0000349797908741
0.9999992229887978 0.9999999998890000 0.0000349795781014
0.9999983505971276 0.9999999997640000 0.0000349792741414
0.9999974809607902 0.9999999996390000 0.0000349788182039
0.9999957498771871 0.9999999993890000 0.0000349779063379
0.9999923199216640 0.9999999988889999 0.0000349759671179
0.9999849531302176 0.9999999977939799 0.0000349733045622
0.9999777746718530 0.9999999966989598 0.0000349691878890
0.9999633182087511 0.9999999944077159 0.0000349636173550
0.9999495468368395 0.9999999921164721 0.0000349579031957
0.9999357196576957 0.9999999897067279 0.0000349520454671
0.9999224921432295 0.9999999872969837 0.0000349475369062
0.9999155821655172 0.9999999859970589 0.0000349443774107
0.9999088196841353 0.9999999846971340 0.0000349396386870
0.9998957079674892 0.9999999820972845 0.0000349331529768
0.9998824432646645 0.9999999793595979 0.0000349265004902
0.9998696801152065 0.9999999766219114 0.0000349198487086
0.9998573718644996 0.9999999738842249 0.0000349131975164
0.9998454790707552 0.9999999711465384 0.0000349061943316
0.9998327694185567 0.9999999681186390 0.0000348988395880
0.9998204885960081 0.9999999650907396 0.0000348914857323
0.9998086038460282 0.9999999620628403 0.0000348841325534
0.9997970869550012 0.9999999590349409 0.0000348718940730
0.9997715607271095 0.9999999519828884 0.0000348590541617
0.9997594147997153 0.9999999484568621 0.0000348526353220
0.9997534845216062 0.9999999466938490 0.0000348483563642
0.9997476454546499 0.9999999449308358 0.0000348419379220
0.9997362301369084 0.9999999414048095 0.0000348333812269
0.9997251486222040 0.9999999378787833 0.0000348205478189
0.9997039164838808 0.9999999308267308 0.0000348067625463
0.9996915045349863 0.9999999265148076 0.0000347963035241
0.9996794960703791 0.9999999222028845 0.0000347806183074
0.9996566063266612 0.9999999135790382 0.0000347649388633
0.9996456936846285 0.9999999092671150 0.0000347544878421
0.9996351134716805 0.9999999049551919 0.0000347388142223
0.9996148680076322 0.9999998963313456 0.0000347155900011
0.9995915815824137 0.9999998857875597 0.0000346964353801
0.9995804710768569 0.9999998805156668 0.0000346836700286
0.9995696851591078 0.9999998752437739 0.0124352170521762
0.9995492603163515 0.9999998646999880 0.0129544102206789
0.9995298869562447 0.9999998541562022 0.0129548033184767
0.9995190669709552 0.9999998480350424 0.0129552767220622
0.9995085366118331 0.9999998419138826 0.0129566623738778
0.9994882775317457 0.9999998296715630 0.0129577719828521
0.9994669944952514 0.9999998161370725 0.0129588214587147
0.9994467456696694 0.9999998026025819 0.0129625561117669
0.9994254274036837 0.9999997876403639 0.0129645668402019
0.9994151470614783 0.9999997801592548 0.0129645668402019
0.9994051014975249 0.9999997726781458 0.0129692869275919
0.9993836676344583 0.9999997561385230 0.0129757066245245
0.9993632016772266 0.9999997395989002 0.0129771529866534
0.9993522677937829 0.9999997304577573 0.0129807140923756
0.9993415844628679 0.9999997213166143 0.0129863561265495
0.9993209193219516 0.9999997030343285 0.0129910806074266
0.9992990702664706 0.9999996828269282 0.0129964280264650
0.9992781579497519 0.9999996626195279 0.0131403587607589
0.9992560273174684 0.9999996402855892 0.0131470201021419
0.9992453135014800 0.9999996291186198 0.0131522950121396
0.9992348188820062 0.9999996179516505 0.0131616133963834
0.9992123497139138 0.9999995932688164 0.0131691264466345
0.9991907956638779 0.9999995685859823 0.0131755892008686
0.9991679363802123 0.9999995413088009 0.0131827005386903
0.9991459882979841 0.9999995140316195 0.0131888805073351
0.9991226929743282 0.9999994838891572 0.0131955180777640
0.9991003082749321 0.9999994537466949 0.0132005470759310
0.9990765316507769 0.9999994204399055 0.0132005470759310
0.9990649890869107 0.9999994037865109 0.0132005470759310
0.9990536627905106 0.9999993871331162 0.0132005470759310
0.9990293529591032 0.9999993503319387 0.0132005470759310
0.9990059497298324 0.9999993135307611 0.0132005470759310
0.9989822619662363 0.9999992748958068 0.0132005470759310
0.9989570391306655 0.9999992322110774 0.0132005470759310
0.9989327242494059 0.9999991895263481 0.0132005470759310
0.9989068272875842 0.9999991423700580 0.0132005470759310
0.9988818579366294 0.9999990952137680 0.0132005470759310
0.9988552613813667 0.9999990431204668 0.0132005470759310
0.9988296141495264 0.9999989910271657 0.0132005470759310
0.9988022935336697 0.9999989334832027 0.0132005470759310
0.9987759439514503 0.9999988759392396 0.0132005470759310
0.9987478710031067 0.9999988123778222 0.0132005470759310
0.9987207891285452 0.9999987488164047 0.0132005470759310
0.9986919305525234 0.9999986786121565 0.0132005470759310
0.9986640859001793 0.9999986084079083 0.0132005470759310
0.9986344136545101 0.9999985308708683 0.0132005470759310
0.9986057832519246 0.9999984533338283 0.0132005470759310
0.9985752745920696 0.9999983677028277 0.0132005470759310
0.9985458351549608 0.9999982820718271 0.0132005470759310
0.9985144627172934 0.9999981875071688 0.0132005470759310
0.9984841856457671 0.9999980929425106 0.0132005470759310
0.9984519174553982 0.9999979885179205 0.0132005470759310
0.9984207709922176 0.9999978840933305 0.0132005470759310
0.9983875731652612 0.9999977687871026 0.0132005470759310
0.9983555254988189 0.9999976534808747 0.0132005470759310
0.9983213655712757 0.9999975261661024 0.0132005470759310
0.9982883856520302 0.9999973988513301 0.0132005470759310
