# R_norm M_norm Z
0.0019775152138426 0.0000013034532208 0.8026040200000000
0.0039305924860294 0.0000130339893266 0.8028447500000000
0.0058836696080696 0.0000407160023460 0.8030018100000000
0.0078367470304029 0.0000950132648899 0.8026035500000001
0.0097898244527361 0.0001838801961625 0.8009809000000000
0.0117429018750693 0.0003196787760993 0.7989568600000000
0.0136959787969143 0.0005030110236693 0.7972445800000000
0.0156490562192475 0.0007469934282809 0.7956607300000000
0.0176021336415807 0.0010552381325741 0.7939083500000000
0.0195552110639140 0.0014479606737139 0.7916307400000000
0.0215082879857589 0.0019168181931155 0.7893959200000000
0.0234613654080921 0.0024750366020769 0.7876706500000000
0.0254144428304254 0.0031342597361268 0.7858889400000000
0.0273675202527586 0.0038962062081837 0.7841878400000000
0.0293205971746035 0.0047743767654064 0.7825067200000000
0.0312736745969368 0.0057699074558059 0.7806743900000001
0.0332267520192700 0.0068782928417253 0.7786619000000000
0.0351798294416032 0.0081329151831103 0.7767820900000000
0.0371329063634482 0.0095167862864048 0.7747781300000000
0.0390859837857814 0.0110426169498491 0.7728541799999999
0.0410390612081146 0.0127060935860145 0.7710106200000000
0.0429921386304479 0.0145284612855849 0.7691616999999999
0.0449452155522928 0.0164979582523655 0.7670979900000000
0.0468982929746260 0.0186322664154614 0.7652316400000000
0.0488513703969593 0.0209238882423419 0.7632264200000000
0.0508044498212456 0.0233825552477411 0.7610631600000000
0.0527575252416257 0.0260059002112338 0.7586564600000000
0.0547106006620059 0.0287989762564364 0.7537922400000000
0.0566636810872687 0.0317148953798109 0.7409201300000000
0.0586167565076489 0.0347229695519916 0.7185005400000000
0.0605698319280290 0.0377827757057526 0.6964733000000000
0.0625229123532919 0.0409080767728883 0.6732379800000000
0.0644759877736720 0.0440873297113035 0.6446712200000000
0.0664290681989349 0.0472525606080173 0.6015024000000000
0.0683821436193150 0.0503611460434398 0.5378163700000000
0.0703352190396951 0.0533261929176711 0.4591987500000000
0.0722882994649580 0.0561843001047457 0.3899804900000000
0.0742413748853381 0.0589838016913055 0.3421337900000000
0.0761944503057183 0.0618031576946098 0.3009960800000000
0.0781475307309811 0.0646270329077910 0.2594666300000000
0.0801006061513613 0.0674702468801758 0.2172492600000000
0.0820536865766242 0.0703201708062757 0.1784837600000000
0.0840067619970043 0.0731981836555649 0.1476136700000000
0.0859598374173844 0.0761263305886260 0.1187255200000000
0.0879129178426473 0.0791183005516062 0.0960328310000000
0.0898659932630274 0.0821868056238828 0.0804407150000000
0.0918190686834075 0.0853316920690461 0.0693262650000000
0.0937721491086704 0.0885856256713157 0.0614622470000000
0.0957252245290505 0.0919328420430134 0.0552934510000000
0.0976783049543134 0.0953857970361670 0.0497641950000000
0.0996313803746935 0.0989444586223578 0.0450343330000000
0.1015844557950737 0.1026093776903872 0.0409328150000000
0.1035375362203366 0.1063887695296486 0.0375578630000000
0.1054906116407167 0.1102756295249750 0.0347200240000000
0.1074436870610968 0.1142791818609485 0.0322264170000000
0.1093967674863597 0.1183831977378200 0.0299554480000000
0.1113498429067398 0.1226112724916367 0.0280769500000000
0.1133029233320027 0.1269461011677818 0.0264266340000000
0.1152559987523828 0.1313989737838425 0.0248772010000000
0.1172090741727630 0.1359526398335137 0.0234424720000000
0.1191621545980258 0.1406332985632820 0.0221602620000000
0.1211152300184060 0.1454151638932618 0.0209933830000000
0.1230683054387861 0.1503337905710385 0.0199135170000000
0.1250213858640490 0.1553491879130385 0.0188453080000000
0.1269744612844291 0.1604735651524655 0.0178450150000000
0.1289275417096920 0.1657288457419114 0.0168983950000000
0.1308806171300721 0.1710617440012053 0.0159143920000000
0.1328336925504522 0.1765500793792329 0.0149611460000000
0.1347867729757151 0.1821241612397714 0.0140186940000000
0.1367398483960952 0.1878325991138634 0.0131659680000000
0.1386929238164754 0.1936215308098014 0.0122192400000000
0.1406460042417382 0.1995624245410456 0.0114246610000000
0.1425990796621183 0.2055755839933750 0.0108349710000000
0.1445521600873813 0.2117086290196947 0.0101418190000000
0.1465052355077614 0.2179415546696922 0.0096842952000000
0.1484583109281415 0.2243093391794165 0.0091893892000000
0.1504113913534044 0.2307486527565963 0.0087857639000000
0.1523644667737845 0.2372738217129106 0.0084022690000000
0.1543175421941646 0.2439538384650547 0.0080701185000000
0.1562706226194275 0.2506692370113232 0.0077599612000000
0.1582236980398076 0.2575036275387006 0.0074761043000000
0.1601767784650705 0.2644982658532986 0.0071902644000000
0.1621298538854506 0.2715640168659091 0.0069652158000000
0.1640829293058308 0.2786850169007560 0.0066800464000000
0.1660360097310936 0.2858917666209557 0.0064983714000000
0.1679890851514738 0.2932611854768288 0.0062541646000000
0.1699421605718539 0.3006325356463488 0.0060657251000000
0.1718952409971168 0.3081686432044408 0.0058325221000000
0.1738483164174969 0.3157250727941900 0.0057090282000000
0.1758013968427598 0.3234258224385465 0.0055368714000000
0.1777544722631399 0.3312101694585199 0.0054120300000000
0.1797075476835200 0.3390107869151867 0.0052790638000000
0.1816606281087829 0.3468490057353930 0.0052123927000000
0.1836137035291631 0.3548666797855070 0.0050898940000000
0.1855667789495432 0.3629295459343894 0.0049801738000000
0.1875198593748061 0.3710472767644841 0.0048897420000000
0.1894729347951862 0.3792027370717929 0.0048101931000000
0.1914260152204491 0.3874889694126040 0.0047135744000000
0.1933790906408292 0.3957981341011955 0.0045894052000000
0.1953321660612093 0.4041702346325085 0.0045166859000000
0.1972852464864722 0.4125878795751956 0.0043818621000000
0.1992383219068523 0.4210968695679802 0.0042508775000000
0.2011913973272325 0.4296083898058412 0.0040951473000000
