# R_norm M_norm Z
0.0019775152138426 0.0000009490166464 0.4604303400000000
0.0039305924860294 0.0000072069048991 0.4600536000000000
0.0058836696080696 0.0000235160393182 0.4597561500000000
0.0078367470304029 0.0000549928539187 0.4600038700000000
0.0097898244527361 0.0001078570058476 0.4604752800000000
0.0117429018750693 0.0001845779199607 0.4607801300000000
0.0136959787969143 0.0002918450408931 0.4609309000000000
0.0156490562192475 0.0004366120481054 0.4613836100000000
0.0176021336415807 0.0006198648018040 0.4616042200000000
0.0195552110639140 0.0008506169678158 0.4615228600000000
0.0215082879857589 0.0011293685650675 0.4612523400000000
0.0234613654080921 0.0014642533386816 0.4608256600000000
0.0254144428304254 0.0018580294883609 0.4605077800000000
0.0273675202527586 0.0023138832788696 0.4596318100000000
0.0293205971746035 0.0028389054423779 0.4583571100000000
0.0312736745969368 0.0034359901656688 0.4565897100000000
0.0332267520192700 0.0041067767372071 0.4552766900000000
0.0351798294416032 0.0048624580547454 0.4537438400000000
0.0371329063634482 0.0056964186251722 0.4524815200000000
0.0390859837857814 0.0066198485151642 0.4507242200000000
0.0410390612081146 0.0076316801863802 0.4493074300000000
0.0429921386304479 0.0087401040372735 0.4481115000000000
0.0449452155522928 0.0099499119026390 0.4473097300000000
0.0468982929746260 0.0112537770212690 0.4464068700000000
0.0488513703969593 0.0126666226630501 0.4446570600000000
0.0508044498212456 0.0141834750408836 0.4428717900000000
0.0527575252416257 0.0158113739911906 0.4406326000000000
0.0547106006620059 0.0175466817402911 0.4385684600000000
0.0566636810872687 0.0193981154576434 0.4363484500000000
0.0586167565076489 0.0213617558524545 0.4343495400000000
0.0605698319280290 0.0234424017576847 0.4319134300000000
0.0625229123532919 0.0256443637251999 0.4291988100000000
0.0644759877736720 0.0279630045160435 0.4259387100000000
0.0664290681989349 0.0303978552531252 0.4224921400000000
0.0683821436193150 0.0329501562022355 0.4193793200000000
0.0703352190396951 0.0356345093538435 0.4165674900000000
0.0722882994649580 0.0384392818482537 0.4134178600000000
0.0742413748853381 0.0413641619490018 0.4097581700000000
0.0761944503057183 0.0444095600030665 0.4053889100000000
0.0781475307309811 0.0475792582008162 0.4004830200000000
0.0801006061513613 0.0508648651055880 0.3951903400000000
0.0820536865766242 0.0542701279169229 0.3897885800000000
0.0840067619970043 0.0577927658690561 0.3839972900000000
0.0859598374173844 0.0614273426597673 0.3780442000000000
0.0879129178426473 0.0651795522510076 0.3719837600000000
0.0898659932630274 0.0690445181937989 0.3655783300000000
0.0918190686834075 0.0730200042561570 0.3588561000000000
0.0937721491086704 0.0771064080611232 0.3522613400000000
0.0957252245290505 0.0812989135984217 0.3448825100000000
0.0976783049543134 0.0856055560344704 0.3373518300000000
0.0996313803746935 0.0900131788180798 0.3294892100000000
0.1015844557950737 0.0945137913166126 0.3209416800000000
0.1035375362203366 0.0991296158865992 0.3117159600000000
0.1054906116407167 0.1038328888968060 0.3025778600000000
0.1074436870610968 0.1086319508881467 0.2921797200000000
0.1093967674863597 0.1135129773027225 0.2811902100000000
0.1113498429067398 0.1184782234584234 0.2680729000000000
0.1133029233320027 0.1235184040619897 0.2535088700000000
0.1152559987523828 0.1286144713792525 0.2364390100000000
0.1172090741727630 0.1337742251837893 0.2190733800000000
0.1191621545980258 0.1389922418973172 0.2022701700000000
0.1211152300184060 0.1442531923563491 0.1839006900000000
0.1230683054387861 0.1495625573968860 0.1614102600000000
0.1250213858640490 0.1549032360471689 0.1361274100000000
0.1269744612844291 0.1602587412654146 0.1108924700000000
0.1289275417096920 0.1656477708775159 0.0877205520000000
0.1308806171300721 0.1710933361241169 0.0695074070000000
0.1328336925504522 0.1766119653997972 0.0562887370000000
0.1347867729757151 0.1822082552269139 0.0465804780000000
0.1367398483960952 0.1878946909689628 0.0399839520000000
0.1386929238164754 0.1936941725321367 0.0345081420000000
0.1406460042417382 0.1995817037415692 0.0301878530000000
0.1425990796621183 0.2055573450359626 0.0263663280000000
0.1445521600873813 0.2116838667791038 0.0228709580000000
0.1465052355077614 0.2178528642060056 0.0198182860000000
0.1484583109281415 0.2241640357275436 0.0172307090000000
0.1504113913534044 0.2305670454476774 0.0151071810000000
0.1523644667737845 0.2370866446054800 0.0131431650000000
0.1543175421941646 0.2436184014853924 0.0112657930000000
0.1562706226194275 0.2503761068632600 0.0093770572000000
0.1582236980398076 0.2571325684762544 0.0076301268000000
0.1601767784650705 0.2640631730764031 0.0061105575000000
0.1621298538854506 0.2709809042329677 0.0046036993000000
0.1640829293058308 0.2781186863425392 0.0035413326000000
0.1660360097310936 0.2852556191292946 0.0026812429000000
0.1679890851514738 0.2925450832956651 0.0022161431000000
0.1699421605718539 0.2998414342931105 0.0018049383000000
0.1718952409971168 0.3073573495529603 0.0015679338000000
0.1738483164174969 0.3148336679198684 0.0013877225000000
0.1758013968427598 0.3224532641829753 0.0012573344000000
0.1777544722631399 0.3300726123293044 0.0011870933000000
0.1797075476835200 0.3379104622892717 0.0011120818000000
0.1816606281087829 0.3457389601553084 0.0010902788000000
0.1836137035291631 0.3536801284863190 0.0010204811000000
0.1855667789495432 0.3616271180186539 0.0010237366000000
0.1875198593748061 0.3697430814386065 0.0009752758900000
0.1894729347951862 0.3778375732143305 0.0009705634100000
0.1914260152204491 0.3860413636116387 0.0009472516500000
0.1933790906408292 0.3943148811854638 0.0009645530600000
0.1953321660612093 0.4026924805665715 0.0008954648700000
0.1972852464864722 0.4110179118046646 0.0008942125700000
0.1992383219068523 0.4195496934962549 0.0008447158700000
0.2011913973272325 0.4280287344676511 0.0008309590600000
